bloodshed,conflict
betrayal,treason
bloody,reddish
ashamed,guiltyabused
abused,misuse
Baloney,nonsense
batshit_creazy,insane
beaten_with_shoes,whipped_with_shoes
bikies,jumped_by_bikies
bossypants,rulled_by_a_daspot
bullshit,flooded_with_lies
chamacha,an_era_of_stooges
chamchagiri,disgust_people
cheat,defraud
chalas,underlings
childishness,immaturity
chhokra,unpermitted
circumventing,evading
clouseau,incompetent_inspector
conversion,transformation
cockroaches,insect
corrupt,dishonest
corruption,misconduct
covid spreader,infector
coward,weakling
criminal,law_breaker
crock,twaddle
crocodile_tears,false_sympathy
cruel,savage
debacle,failure
deceived,misled
derogatory,offensive
disgrace,dishonour
dodgy,suspecious
dog,pet
donkey,mule
drama,acting
dump,landfill
duplicity,deceidfullness
erroneous,incorrect
eyewash,deception
fake,imitation
false,incorrect
fabrication,hoax
fool,simpleton
foolish,imprudent
fraud,swindle
frighten,alarm 
fudge,manipulate
gag,restrain
gaglighting,emotional_manipulation
goons,brutes
goose,bird
gossipers,whisperers
greasy,sleazy
greed,selfishness
groper,fondler
grubby,stand
gun,firearms
gundas,goons
hack,exploit
heckle,tease
heckler,trouble_maker
hogwash,drivel
hooliganism,disorder
humiliated,demeaned
hunter,pursuer
hipocrisy,falsehood
hypocrite,deceiver
ignores,overlooks
illegally,illicitli
incompetent,unquatified
interjecting,inserting
irresponsible,careless
jackall,carnivore
jaumblejim,messy
kickout,ouster
lack_of_maturity,immaturity
liar,fibber
lie,fib
lollipops,sweets
looting,theft
mafia,syndicate
mamas,mob
mate,friend
Menzies,leader
mess,disorder
misaligned,misinformation




























